,-,traw,t,-.1,-.2,ECG,Ax,Ay,Az,Amag,Aave,Smooth
48,67,28.8799999999994,0.9599999999999973,536884860,209577,391,0.205265,0.959713,0.090646,0.9855959922351553,0.4185413333333334,
49,67,28.8999999999994,0.9800000000000004,0,86903,389,0.217587,0.971364,0.087352,0.9992609744050851,0.4254343333333334,
50,67,28.9199999999994,1.0,536936130,133133,384,0.220881,0.974658,0.083936,1.0028917614683053,0.4264916666666667,
51,67,28.9399999999994,1.0199999999999996,116621,536878210,373,0.213073,0.974475,0.092598,1.0017864136421495,0.42671533333333334,
52,67,28.9599999999994,1.0399999999999991,0,86903,372,0.206485,0.976793,0.098027,1.0031799005178483,0.4271016666666667,
53,67,28.9799999999994,1.0599999999999987,-983,242,373,0.219112,0.970266,0.09699,0.9994164494343687,0.4287893333333333,
54,67,28.9999999999994,1.0799999999999983,116621,536878210,373,0.218075,0.964166,0.093391,0.9929222829919772,0.4252106666666666,
55,67,29.0199999999994,1.0999999999999979,-1228,1335,372,0.212158,0.967765,0.095343,0.9953242686873459,0.42508866666666667,
56,67,29.0399999999994,1.1199999999999974,-1228,1335,374,0.203923,0.970388,0.094611,0.9960866939147416,0.422974,
57,67,29.0599999999994,1.139999999999997,116621,536878210,368,0.19825,0.977159,0.100833,1.002152716740318,0.42541399999999996,
58,67,29.0799999999994,1.1600000000000001,536884860,209577,364,0.20862,0.977586,0.102175,1.0048066592240519,0.4294603333333333,
59,67,29.0999999999994,1.1799999999999997,0,86903,364,0.201666,0.977891,0.099796,1.0034436830500255,0.42645099999999997,
60,67,29.1199999999994,1.1999999999999993,536884860,209577,364,0.196603,0.97783,0.103761,1.0027814286423538,0.4260646666666667,
61,67,29.1399999999994,1.2199999999999989,0,86903,387,0.200202,0.975024,0.098027,1.0001809506829251,0.42441766666666664,
62,67,29.1599999999994,1.2399999999999984,0,86903,347,0.191784,0.97417,0.103761,0.9982758319607863,0.4232383333333333,
63,67,29.1799999999994,1.259999999999998,234636,0,-1,0.203252,0.99308,0.063684,1.0156647644572494,0.42000533333333334,
64,67,29.1999999999994,1.2799999999999976,536936130,133133,-1,0.180682,0.975634,0.121329,0.9996141322135256,0.42588166666666666,
65,67,29.2199999999994,1.2999999999999972,536936130,133133,402,0.181658,0.974414,0.114558,0.9978004849287256,0.4235433333333333,
66,67,29.2399999999994,1.3200000000000003,116621,536878210,500,0.18544,0.97295,0.132004,0.9992220734731594,0.43013133333333337,
67,67,29.2599999999994,1.3399999999999999,0,86903,506,0.175375,0.969473,0.091988,0.9894928400438278,0.4122786666666667,
68,67,29.2799999999994,1.3599999999999994,-1596,199,513,0.184281,0.96258,0.110898,0.9863154210317305,0.41925299999999993,
69,67,29.2999999999994,1.379999999999999,116621,536878210,522,0.184769,0.969778,0.100162,0.9922909749105854,0.4182363333333334,
70,67,29.3199999999994,1.3999999999999986,-1310,204,535,0.188795,0.978745,0.088267,1.0006879585260333,0.41860233333333335,
71,67,29.3399999999994,1.4199999999999982,-1310,204,530,0.201788,0.967399,0.108336,0.9941407903516484,0.42584099999999997,
72,67,29.3599999999994,1.4399999999999977,116621,536878210,547,0.208803,0.956297,0.099491,0.9838704711998424,0.42153033333333334,
73,67,29.3799999999994,1.4599999999999973,536936130,133133,564,0.204838,0.978257,0.086193,1.0031822354597395,0.42309599999999997,
74,67,29.3999999999994,1.4800000000000004,0,86903,563,0.196664,0.974597,0.091317,0.9984261794414248,0.4208593333333334,
75,67,29.4199999999994,1.5,536936130,133133,546,0.194102,0.974475,0.094489,0.9981008381671663,0.421022,
76,67,29.4399999999994,1.5199999999999996,0,86903,485,0.17873,0.975756,0.094733,0.9965031488786175,0.41640633333333327,
77,67,29.4599999999994,1.5399999999999991,0,86903,430,0.169519,0.97722,0.084363,0.9953957682901812,0.4103673333333333,
78,67,29.4799999999994,1.5599999999999987,0,11069,405,0.166225,0.977281,0.105835,0.9969503251471459,0.41644699999999996,
79,67,29.4999999999994,1.5799999999999983,0,86903,398,0.170129,0.974536,0.080154,0.9925164762627369,0.40827300000000005,
80,67,29.5199999999994,1.5999999999999979,536936130,133133,396,0.170312,0.976305,0.089243,0.9950587638014149,0.41195333333333334,
81,67,29.5399999999994,1.6199999999999974,116621,536878210,390,0.175802,0.976732,0.089426,0.9964480681420382,0.4139866666666667,
82,67,29.5599999999994,1.639999999999997,0,86903,383,0.178852,0.977342,0.091073,0.9977372971864888,0.4157556666666667,
83,67,29.5799999999994,1.6600000000000001,-324,540,375,0.185013,0.984845,0.093818,1.0064548183192328,0.42122533333333334,
84,67,29.5999999999994,1.6799999999999997,116621,536878210,374,0.192943,0.98271,0.094184,1.0058909340505062,0.423279,
85,67,29.6199999999994,1.6999999999999993,-365,691,365,0.196786,0.980514,0.093208,1.0044004008641174,0.42350266666666664,
86,67,29.6399999999994,1.7199999999999989,-365,691,367,0.20191,0.980026,0.092415,1.0048677231362344,0.4247836666666666,
87,67,29.6599999999994,1.7399999999999984,116621,536878210,366,0.198433,0.97905,0.094367,1.0034040505588961,0.42395000000000005,
88,67,29.6799999999994,1.759999999999998,536936130,133133,350,0.188307,0.976122,0.0976,0.9988991165943637,0.4206763333333334,
89,67,29.6999999999994,1.7799999999999976,0,86903,353,0.193492,0.971852,0.102541,0.9962179082153664,0.4226283333333334,
90,67,29.7199999999994,1.7999999999999972,536936130,133133,360,0.19154,0.973804,0.100833,0.9975715993877332,0.42205899999999996,
91,67,29.7399999999994,1.8200000000000003,536936130,133133,364,0.18605,0.972523,0.094306,0.9946402413259782,0.4176263333333334,
92,67,29.7599999999994,1.8399999999999999,0,86903,360,0.193126,0.973621,0.088816,0.9965559619875844,0.418521,
93,67,29.7799999999994,1.8599999999999994,-426,792,350,0.195993,0.972584,0.091134,0.9963123501497911,0.4199036666666667,
94,67,29.7999999999994,1.879999999999999,0,86903,358,0.2013,0.972828,0.090524,0.997552305475758,0.4215506666666667,
95,67,29.8199999999994,1.8999999999999986,-466,271,351,0.20191,0.971181,0.091073,0.9961197087649656,0.42138799999999993,
96,67,29.8399999999994,1.9199999999999982,116621,536878210,409,0.204228,0.968863,0.091256,0.994350162814388,0.421449,
97,67,29.8599999999994,1.9399999999999977,0,86903,154,0.207095,0.966606,0.097234,0.993312613942358,0.423645,
98,67,29.8799999999994,1.9599999999999973,-505,217,-1,0.212463,0.980697,0.064233,1.0055013726828024,0.419131,
99,67,29.8999999999994,1.9800000000000004,116621,536878210,0,0.196908,0.954528,0.136274,0.9841072433043058,0.4292366666666667,
100,67,29.9199999999994,2.0,-855,599,490,0.198006,0.959835,0.122915,0.9877234939425101,0.4269186666666666,0.41879600330033007
101,67,29.9399999999994,2.0199999999999996,-855,599,503,0.207461,0.977037,0.11163,1.0050386175615342,0.43204266666666663,0.4189357194719473
102,67,29.9599999999994,2.039999999999999,116621,536878210,512,0.197518,0.974902,0.08845,0.9986344037874922,0.42029,0.4190037656765677
103,67,29.9799999999994,2.0599999999999987,536936130,133133,523,0.206119,0.960872,0.102114,0.9880219185529235,0.423035,0.4190977821782179
104,67,29.9999999999994,2.0799999999999983,0,86903,524,0.209657,0.965691,0.096685,0.9929064177227378,0.42401099999999997,0.41919381188118826
105,67,30.0199999999994,2.099999999999998,536936130,133133,536,0.210389,0.972218,0.084302,0.9982876329239986,0.42230300000000004,0.4192898415841585
106,67,30.0399999999994,2.1199999999999974,536936130,133133,534,0.21045,0.971059,0.091256,0.9977837649095118,0.424255,0.41937479867986804
107,67,30.0599999999994,2.139999999999997,0,86903,550,0.210694,0.96319,0.091134,0.9901678361227454,0.42167266666666664,0.4194098283828383
108,67,30.0799999999994,2.16,-972,394,562,0.212036,0.978501,0.092293,1.005455851912952,0.42761,0.4195245808580858
109,67,30.0999999999994,2.1799999999999997,0,86903,561,0.209169,0.970937,0.096929,0.9979306386573168,0.4256783333333334,0.41965423102310234
110,67,30.1199999999994,2.1999999999999993,-858,395,542,0.212219,0.966667,0.097417,0.9944707460448498,0.4254343333333334,0.4197470396039604
111,67,30.1399999999994,2.219999999999999,116621,536878210,486,0.203069,0.968741,0.100955,0.9949311814728695,0.424255,0.41987427392739285
112,67,30.1599999999994,2.2399999999999984,0,86903,445,0.202276,0.975817,0.08418,1.0001103289462618,0.42075766666666664,0.4199550033003302
113,67,30.1799999999994,2.259999999999998,234636,0,427,0.205753,0.963434,0.107787,0.9910385495700962,0.42565800000000004,0.42004338283828385
114,67,30.1999999999994,2.2799999999999976,116621,536878210,421,0.200202,0.969351,0.087413,0.9936615291808373,0.4189886666666667,0.42007861386138623
115,67,30.2199999999994,2.299999999999997,-790,283,417,0.197213,0.97783,0.086315,1.0012466007402971,0.42045266666666664,0.42015753135313544
116,67,30.2399999999994,2.3200000000000003,-790,283,411,0.203862,0.973621,0.092598,0.9990355130269394,0.42336033333333334,0.4202660429042906
117,67,30.2599999999994,2.34,116621,536878210,398,0.205509,0.969351,0.090951,0.9950615029650177,0.421937,0.4203139570957097
118,67,30.2799999999994,2.3599999999999994,234236,4911,392,0.201239,0.973072,0.095526,0.9982441930614974,0.423279,0.42038482178217834
119,67,30.2999999999994,2.379999999999999,0,86903,386,0.201422,0.967094,0.098881,0.9927835006087682,0.42246566666666663,0.42047501320132025
120,67,30.3199999999994,2.3999999999999986,536936130,133133,383,0.198555,0.966423,0.098698,0.9915335587654107,0.42122533333333334,0.4205639966996701
121,67,30.3399999999994,2.419999999999998,536936130,133133,379,0.194407,0.969656,0.09943,0.9939382097922385,0.4211643333333333,0.42064371947194723
122,67,30.3599999999994,2.4399999999999977,0,86903,382,0.199287,0.969229,0.100162,0.9945615059180604,0.42289266666666664,0.420746191419142
123,67,30.3799999999994,2.4599999999999973,116621,536878210,371,0.199226,0.969717,0.100101,0.9950187281483701,0.4230146666666667,0.4208339669966997
124,67,30.3999999999994,2.4800000000000004,0,86903,378,0.198555,0.972523,0.094123,0.9970377187865062,0.4217336666666667,0.42089597359735986
125,67,30.4199999999994,2.5,536936130,133133,381,0.198006,0.973499,0.095953,0.9980549369879396,0.422486,0.4209726765676568
126,67,30.4399999999994,2.5199999999999996,116621,536878210,381,0.194895,0.974414,0.093391,0.9980924723200751,0.4209,0.4210427359735975
127,67,30.4599999999994,2.539999999999999,0,86903,378,0.194102,0.971547,0.098698,0.9956507695055532,0.421449,0.42113031023102326
128,67,30.4799999999994,2.5599999999999987,-376,448,372,0.194651,0.972401,0.096868,0.9964116247946929,0.42130666666666666,0.42122493069306943
129,67,30.4999999999994,2.5799999999999983,536936130,133133,369,0.194651,0.973804,0.098332,0.9979240574517683,0.42226233333333335,0.4212986138613863
130,67,30.5199999999994,2.599999999999998,-464,524,367,0.195139,0.974719,0.098698,0.9989482736788727,0.422852,0.42137853795379554
131,67,30.5399999999994,2.6199999999999974,-464,524,367,0.195505,0.971974,0.099186,0.9963902469901037,0.42222166666666666,0.4214053135313533
132,67,30.5599999999994,2.639999999999997,536936130,133133,479,0.191601,0.973499,0.101687,0.9973722936652091,0.42226233333333335,0.4216279735973599
133,67,30.5799999999994,2.66,536936130,133133,-1,0.192943,0.97478,0.100833,0.9987944450876767,0.422852,0.4215973729372938
134,67,30.5999999999994,2.6799999999999997,0,86903,-2,0.196969,0.989725,0.068137,1.0114321595416076,0.41827699999999995,0.421705280528053
135,67,30.6199999999994,2.6999999999999993,536936130,133133,34,0.183,0.954467,0.154879,0.9841157242570611,0.430782,0.4219545148514854
136,67,30.6399999999994,2.719999999999999,536936130,133133,554,0.196115,0.983503,0.092537,1.0071257819175319,0.4240516666666667,0.42207409900990117
137,67,30.6599999999994,2.7399999999999984,0,86903,518,0.182878,0.98027,0.093696,1.001575047712352,0.41894800000000004,0.42208537293729387
138,67,30.6799999999994,2.759999999999998,-831,382,529,0.183305,0.969412,0.102785,0.9919299899660259,0.41850066666666663,0.4220612145214523
139,67,30.6999999999994,2.7799999999999976,0,86903,533,0.190991,0.959347,0.119682,0.9854684214189716,0.42334,0.42215261386138625
140,67,30.7199999999994,2.799999999999997,536936130,133133,531,0.190442,0.960079,0.115961,0.9856301512869825,0.42216066666666663,0.42217475907590774
141,67,30.7399999999994,2.8200000000000003,536936130,133133,539,0.193248,0.98027,0.09394,1.0035431161659174,0.422486,0.42219630033003314
142,67,30.7599999999994,2.84,0,86903,536,0.192028,0.966423,0.104188,0.9908094201495059,0.4208796666666667,0.42222045874587466
143,67,30.7799999999994,2.8599999999999994,-975,582,549,0.197457,0.97234,0.097478,0.9969635414261646,0.422425,0.42220596369636965
